id,TRIAL,Trial_env,ENV,Trial_env,REP,GEN,sve,Above_median_BLUP,Company,PLOT.WT,COB,MOIST,Yield,TEMP_v3,RH_v3,VPD_v3,TEMP_veg,RH_veg,VPD_veg,TEMP_flow,RH_flow,VPD_flow,TEMP_gf,RH_gf,VPD_gf
92,LT,4,ADANA2016,,1,KALUMET,LTADANA2016KALUMET1,AM,KWS,13.2,15,14.8,15.87946844,21.6,69.3,787.6619206,27.1,66.1,1207.562683,29.5,67.5,1330.284186,29.9,69,1298.303609
93,LT,4,ADANA2017,,1,KALUMET,LTADANA2017KALUMET1,AM,KWS,12.9,16,16.5,15.03,21.8,68.8,810.2961797,26.2,69.1,1044.129697,30.4,64.4,1534.139224,29.9,67.5,1361.124752
94,LT,4,ADANA2018,,1,KALUMET,LTADANA2018KALUMET1,AM,0,16.05,16,21,17.69232558,24.4,62.8,1129.899614,26.4,70.2,1018.867484,29.1,69.8,1208.049497,29.6,68.8,1284.419303
95,LT,4,ADANA2019,,1,KALUMET,LTADANA2019KALUMET1,AM,KWS,7.87,12,10.7,10.27335681,24.1,57.6,1264.982487,27.1,68.7,1114.947256,28.4,68.8,1198.642242,29.6,68,1317.353131
96,LT,4,AYVALIK2015,,1,KALUMET,LTAYVALIK2015KALUMET1,NA,NA,NA,NA,NA,NA,21,57.8,1043.762803,23.7,58.8,1200.099198,27.3,50.2,1794.775957,28.4,53.7,1778.754353
97,LT,1,AYVALIK2017,,1,KALUMET,LTAYVALIK2017KALUMET1,AM,KWS,17.4,17.8,19.6,19.10207841,20.4,59.4,967.8977476,25.1,58.5,1314.090861,27.7,49.7,1855.529395,28,49.9,1880.645094
98,LT,1,AYVALIK2018,,1,KALUMET,LTAYVALIK2018KALUMET1,AM,0,18.8,18.4,25.3,19.03584319,22.5,59,1111.005522,25.2,58.2,1331.461611,28.2,56.9,1636.752826,28.5,53.2,1808.392047
99,LT,1,AYVALIK2019,,1,KALUMET,LTAYVALIK2019KALUMET1,AM,KWS,11.25,19.4,24.7,11.34190615,20.1,65.4,809.7645226,26.4,56.9,1473.596931,26.6,52.4,1646.6684,28.1,48.4,1948.220556
100,LT,1,MANISA2015,,1,KALUMET,LTMANISA2015KALUMET1,NA,NA,NA,NA,NA,NA,21.6,51.7,1239.220546,23.7,58.4,1211.750646,28.8,42.8,2248.882322,28.6,49.8,1951.013707
101,LT,1,MANISA2016,,1,KALUMET,LTMANISA2016KALUMET1,AM,KWS,15.5,14.9,14.6,18.71210465,19.7,58,958.9777322,26.9,47.6,1844.857003,29,42.8,2274.957698,28.8,49.1,2001.190738
102,LT,1,MANISA2017,,1,KALUMET,LTMANISA2017KALUMET1,AM,KWS,15.6,14,13,19.38857143,20.8,54.1,1121.454446,25.7,52.3,1565.008969,28.9,43.2,2246.069921,28.5,47.2,2040.237181
103,LT,1,MANISA2018,,1,KALUMET,LTMANISA2018KALUMET1,AM,0,11.35,15.6,18.3,13.00061429,22.9,54.7,1257.549619,25.3,54.8,1448.317966,28.5,49.2,1962.95547,29,49.5,2008.48538
104,LT,1,MANISA2019,,1,KALUMET,LTMANISA2019KALUMET1,AM,KWS,15.25,13.2,16.1,18.44824419,21.4,51.9,1219.131868,26.7,51.7,1680.708219,27.7,45.9,1995.708554,29.1,43.6,2256.092437
105,LT,2,MERSIN2015,,1,KALUMET,LTMERSIN2015KALUMET1,NA,NA,NA,NA,NA,NA,22.7,62.2,1036.753392,25.4,66.6,1076.572083,28.6,67.7,1255.333521,30.3,60.8,1679.672048
106,LT,2,MERSIN2016,,1,KALUMET,LTMERSIN2016KALUMET1,AM,KWS,13.11,14,15,15.91928571,21.7,65.5,890.5646411,26.8,65.5,1207.559008,29.6,65.6,1416.154616,30,64.4,1499.506342
107,LT,2,MERSIN2019,,1,KALUMET,LTMERSIN2019KALUMET1,AM,KWS,12.79,10,14.2,16.40604319,23.3,59.9,1140.338467,27,66.7,1179.277179,28.9,62.6,1478.926321,30,61.7,1613.232947
108,LT,2,SAKARYA2019,,1,KALUMET,LTSAKARYA2019KALUMET1,AM,KWS,11.09,0,20.6,14.62700997,20,62.5,872.2403524,23.7,68.7,911.725847,23.5,67,949.7790587,23.9,69.1,910.9231481
109,LT,2,ADANA2015,,1,KUM,LTADANA2015KUM1,NA,NA,NA,NA,NA,NA,22.5,64.8,953.8388868,25,69.6,956.9160889,28.4,69.8,1160.224222,30,63.4,1541.627307
110,LT,2,ADANA2016,,1,KUM,LTADANA2016KUM1,NA,NA,NA,NA,NA,NA,21.6,69.3,787.6619206,27.1,66.1,1207.562683,29.5,67.5,1330.284186,29.9,69,1298.303609
111,LT,2,ADANA2017,,1,KUM,LTADANA2017KUM1,BM,0,9.72,13,13,12.22104319,21.8,68.8,810.2961797,26.2,69.1,1044.129697,30.4,64.4,1534.139224,29.9,67.5,1361.124752
112,LT,2,ADANA2018,,1,KUM,LTADANA2018KUM1,NA,NA,NA,NA,NA,NA,24.4,62.8,1129.899614,26.4,70.2,1018.867484,29.1,69.8,1208.049497,29.6,68.8,1284.419303
113,LT,3,ADANA2019,,1,KUM,LTADANA2019KUM1,BM,0,7.91,13,13.2,9.922451163,24.1,57.6,1264.982487,27.1,68.7,1114.947256,28.4,68.8,1198.642242,29.6,68,1317.353131
114,LT,3,AYVALIK2015,,1,KUM,LTAYVALIK2015KUM1,NA,NA,NA,NA,NA,NA,21,57.8,1043.762803,23.7,58.8,1200.099198,27.3,50.2,1794.775957,28.4,53.7,1778.754353
115,LT,3,AYVALIK2017,,1,KUM,LTAYVALIK2017KUM1,BM,0,15.2,16.7,22.8,16.23713488,20.4,59.4,967.8977476,25.1,58.5,1314.090861,27.7,49.7,1855.529395,28,49.9,1880.645094
116,LT,3,AYVALIK2018,,1,KUM,LTAYVALIK2018KUM1,BM,0,12.4,15.6,20.9,13.75131163,22.5,59,1111.005522,25.2,58.2,1331.461611,28.2,56.9,1636.752826,28.5,53.2,1808.392047
